comment,Label,Score,Sentiment
" सँगीत र विशुद्ध अभिनयको सम्मिश्रण अनि नेपाली मौलिकताको प्रतीक ठान्दछु!!!""",5 stars,0.4349497854709625,Very Positive
"शब्द सबै उत्तम १००/१००❤❤""",1 star,0.345432847738266,Very Negative
" ..Video concept is very unique  which i love so much..Prakash brother you always stunning .kabu very much perfect to chill up the song..Really really lovely song . Congrats whole team and good luck""",5 stars,0.8273729085922241,Very Positive
युवा पलायनलाई लिएर हुजुर को गित कहिले आउँछहोला।  ,3 stars,0.2440790981054306,Neutral
" र संगित मा lop You Parkash dai""",3 stars,0.2607564628124237,Neutral
" अन्तिम को क्लिप ले हर्षको आज पनि झार्यो। एक्दमै प्रिय गीत❤""",5 stars,0.7610980272293091,Very Positive
" comment & share please...!!!😍 https://www.youtube.com/watch?v=83qmmjdkIeA""",5 stars,0.31661051511764526,Very Positive
"560  👏👏👏 👏👏👏""",5 stars,0.2570151686668396,Very Positive
" well done""",5 stars,0.5555890798568726,Very Positive
" सफलता को अपार शुभकामना ❤❤❤❤""",5 stars,0.6511613726615906,Very Positive
" you come with a bang which is I think the best about you. You never let people down. keep rocking ❤""",5 stars,0.7971394658088684,Very Positive
"""",3 stars,0.22428537905216217,Neutral
" i have never heard such a patriotic song ever before""",5 stars,0.34541288018226624,Very Positive
"बधाई छ सपुतजी।""",3 stars,0.24634653329849243,Neutral
"❤️""",5 stars,0.2638106942176819,Very Positive
" tara raj arkai le gariraxa yaha""",1 star,0.24791453778743744,Very Negative
" नाटक र अभिनयमा रोक्ने कोहि छैन। भबिस्य शुन्दर देखिएको छ। सबै कडा परिश्रम हो। यश गितबाट आफ्नो बुवालाइ मन्त्रीको सिंहासनमा राखेर बुवाको शिर ठाडो पारेका छ्न सपूत ले। यो भन्दा ठूलो खुशी के हुन्छ होला र बुवा आमालाइ। अझै उन्नती देख्न पाइयोस। बधाइ सम्पुर्ण टिमलाइ।""",2 stars,0.27011531591415405,Negative
" अरुले जे बुजोस्  त्यो मलाई बाल भएन good luck .""",5 stars,0.29309821128845215,Very Positive
" hold teem Lai derai derai badai xa🙏🙏🙏""",3 stars,0.21441274881362915,Neutral
"""",3 stars,0.22428537905216217,Neutral
तराई ,3 stars,0.3274160623550415,Neutral
"000 Views ❤❤❤""",5 stars,0.33111777901649475,Very Positive
"निकै उत्कृष्ट लाग्यो""",2 stars,0.3557647168636322,Negative
दोहोरी गाउने हाम्रो गाँउ घरको गौरव अनि धनी संन्कृती झल्कने यो प्रस्तुती असाध्धै मन पर्‍यो,2 stars,0.28294968605041504,Negative
" अाज सम्म नेपाल बाट कुन नेपालि देशबाट निकालियो???""",1 star,0.46790024638175964,Very Negative
" संगितकार सम्पुर्ण टिमलाई ।""",5 stars,0.5902262330055237,Very Positive
 accomplished singer and versatile musician. ,5 stars,0.7351661324501038,Very Positive
"जस्को मन नछुने सायद कम नै होलान ।यो गित सुन्दा र हेर्दा धेरै भावुक भए ।होल टिमले साह्रै राम्रो काम गर्नु भाको छ धेरै धेरै धन्यवाद ।   - हाल  यु. य. ई. ।""",2 stars,0.38601160049438477,Negative
"💐💐💐💐🕺🕺🕺🕺🕺🕺👌👌👌💝""",5 stars,0.2638106942176819,Very Positive
" चाँडै १ न‌‌म्बरमा देख्न पाउँ शुभकामना ..........""",5 stars,0.28738048672676086,Very Positive
" भावपूर्ण अभिनय र आखा रसाउनो ऱ्पस्तुति!!!!""",5 stars,0.448678582906723,Very Positive
सक्राइब गर्दिनुहोला है।,3 stars,0.2796914875507355,Neutral
" शान्तीश्री परियार लगायत सम्पुण Unit लाई ....""",5 stars,0.49808263778686523,Very Positive
" लोक सङ्गीत को ध्रुर्ब तारा ⭐🌟✨""",5 stars,0.42650848627090454,Very Positive
"अाजकालको केटीहरु प्राय जता नाफा तेतै मोडिन्छन सबै व्यवसायिक भईसके""",1 star,0.28368115425109863,Very Negative
"सलाम छभाइ श्रीजनाको लागि""",5 stars,0.32121363282203674,Very Positive
" always lenged""",5 stars,0.279477059841156,Very Positive
" न्याय दिन यसरी नै आत्माहरुको जमात आवोस्। शुभकामना प्रकाश सर अनि सम्पूर्ण टिमलाई।🙏🙏🙏""",5 stars,0.4434622526168823,Very Positive
" यति धेरै संवाद ठीक होइन । समग्रमा नौलोपन छ ।""",2 stars,0.2629149556159973,Negative
" man mutu ma baseko cha sabai ko. Thaha napai ma ra mero pariwar gun gunai raheko hunchum yo geet""",1 star,0.36533913016319275,Very Negative
" क्षमता र तपाई को साधनाको मेहनत को अपमान गर्नु जतिकै ठान्दछु। बाह्र मिनेट बाह्र सेकेन्ड जस्तै भो। होनि तपाई हाम्रै हो यो देश।""",5 stars,0.5253577828407288,Very Positive
" parisrami dhukhi saila. Chitai milan hos saila ra saili ko.""",1 star,0.35999149084091187,Very Negative
" short but deep message and lastly the entry of Saput ji with sanitary pad is literally rocking""",2 stars,0.3293679356575012,Negative
"""",3 stars,0.22428537905216217,Neutral
"love ur all cistume style which matches with song I love it every song n wish u all the best for this song also.""",5 stars,0.8206825256347656,Very Positive
" yo geet jati barsa purano vayepani kaile marne xaina🙌🏻❤️‍🩹""",1 star,0.3568958342075348,Very Negative
" खुशी लाग्यो""",1 star,0.5561919212341309,Very Negative
" the song should be like this""",3 stars,0.2640925943851471,Neutral
"location and songs its self outstanding .congrz for another blockbuster for sure.""",5 stars,0.6081830263137817,Very Positive
"हामी सग प्रकाश दाईलाई नमन गर्ने शब्द नै छैनन किनकी मिठा शब्द त प्रकाश दाइ सगै उकाली ओराली गरिरहेका छन 🤔🤔""",2 stars,0.29993271827697754,Negative
" sabda nai painna tariff Garna parkash bro hajur ko❤️❤️🙏🙏🙏🙏""",1 star,0.34502774477005005,Very Negative
" Jai Radhe krishna❤""",2 stars,0.3153024911880493,Negative
"हार्दिक बधाइ तथा अपार सफलताको शुभकामना प्रकाश सर् BEST TEEJ SONG !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!""",5 stars,0.810295820236206,Very Positive
"राजनैतिक भन्दा पनि माथि हुन्छ| मैले त संसारमा दुई वटा जाति मात्रै जाने एक महिला एक पुरुष | दुई जाति महिला र पुरुष ले गर्दानै आज संसार चलेको छ  | यी दुई जातिलाई मेरो सम्मान छ 🙏🏻""",5 stars,0.3883686065673828,Very Positive
"thank you prakash dae for amazing song""",5 stars,0.7806999087333679,Very Positive
" chadai 1 crore views hos""",1 star,0.5143312811851501,Very Negative
"  अभिनय   । बधाई तथ शुभकामना  । सम्पुर्ण लाई ।   म  कतार बाट  । जब डिउटी बाट कोठा मा  आउछु  हरेक दिन यो गित हेरेर  निदाउने  बानी परिसक्यो।""",5 stars,0.5045609474182129,Very Positive
" got to listen such an amazing typical song""",5 stars,0.7235159873962402,Very Positive
" कहिल्य अनागरीक समुह गर्दै समाज परिबर्तन को लागी संदेश मुल्क गित गाऊदै जनमानस मा बस्न सफल यो देश को ज़िम्मेवारी नेपाली नागरिक हुन ।""",1 star,0.29388540983200073,Very Negative
" kailey garne desh ko laagi bhanerai euta jindagi sakine bho 🥰""",1 star,0.392400860786438,Very Negative
a best lines ,5 stars,0.7036370635032654,Very Positive
"chanchale ani nakkaley""",1 star,0.28140321373939514,Very Negative
" संङ्गितको योद्दा♥)""",5 stars,0.4154476821422577,Very Positive
"बधाई छ ब्रो!!सफलता को कामना""",5 stars,0.5486373901367188,Very Positive
" subha kamana parkas saput lai""",1 star,0.37719348073005676,Very Negative
" आजको दिनमा मात्र   भोलि त  कति हो कति""",3 stars,0.28334861993789673,Neutral
" स्वर र दृश्य चरित्र प्रति निकै नै मेहनत भएकाे छ । वास्तविकतामा अाधाररित समय सान्दृभिकताले मन छाेयाे ।""",4 stars,0.33483368158340454,Positive
"""",3 stars,0.22428537905216217,Neutral
" लगाम माया आउदैन यो मौका ।।। आहा क्या मीठो गित 💖💖💖""",5 stars,0.3223009407520294,Very Positive
"अति मार्मिक शब्दले भरिएको मीठो गित पर्देसिको बेथालाई समेटिएको धेरै राम्रो मनै छोयो""",2 stars,0.25973406434059143,Negative
"चोरी के गणतंत्र भनेको यहि हो सर्कार ?""",1 star,0.45905426144599915,Very Negative
" Good""",4 stars,0.5031304955482483,Positive
"रहन सहन प्रेमि सपुत प्रकाश सपुत।""",5 stars,0.31707698106765747,Very Positive
" तिम्लाई कल्ले भन्दियो ❤""",1 star,0.2691963016986847,Very Negative
" lagani surakxit""",1 star,0.5230010151863098,Very Negative
" सन्स्क्रिती र संगीत  भरेको गीत सुन्दा झनै राम्रो साथै भिडियो हेर्दा उतिनै मजा ।। जएे नेपाल ।।।""",5 stars,0.5461630821228027,Very Positive
" मोडेल प्रति उच्च सम्मानका साथै हार्दिक नमन ब्यक्त गर्दछु।यस उत्कृष्ट श्रृजनाको लागि। आगामी दिनहरुमा पनि अझ सशक्त श्रृजनाको अपेक्षा राख्दछौँ।🎉🎉❤ आशा छ यस गीत छिटै कोरोड कलबमा प्रवेश गर्दै छ। त्यसको लागि अग्रिम बधाई तथा शुभकामना व्यक्त गर्दछु। यस गीतमा आबद्ध सम्पूर्ण टिमलाई।""",5 stars,0.6144441366195679,Very Positive
"शुभकामना पुरै टिमलाई""",5 stars,0.31951043009757996,Very Positive
" 😊""",5 stars,0.2638106942176819,Very Positive
" Prakash Sir I Live Ur concept ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤ Deepak Puls Director Uttarakhand Music Industry 🙏🙏🙏""",5 stars,0.3872525990009308,Very Positive
"समुदाय को उत्थानमा बेर लाग्ने छैन ।जातीय द्वन्द्व को भावनाले भन्दा समग्र सम्पुर्ण  पिछडिएका समाज को उत्थानका लागि अझै यस्तै सृजना हरुको माध्यम ले हाम्रो समाज मा परिवर्तनको  फद्को मार्ने छ। आगामी दिन हरु मा पनि यहाँको अहम भुमिका रहिरहनेछ भन्ने अपेक्षा का साथ बधाई तथा शुभकामना  प्रकाश जि!!!""",5 stars,0.44468215107917786,Very Positive
" बलात्कारी लाई मृत्यु को सजायको कानुन बनोस र कार्यन्वयन पनि होस।।सम्पुर्ण टिमलाई नमन।।।""",5 stars,0.3806026875972748,Very Positive
" ससाना बाबुनानीहरुले सुन्दा उनीहरुले प्रयोग गर्लान्। गीतहरु सभ्य बने कसो होलान्?""",3 stars,0.29077303409576416,Neutral
